 17859-sa        Tebo-ICT,  license #WeiChuang(CD)
PR4705        2.4280    2.3320   90.0  A1   (T)  'R603H24', 'R603H24'
PR4706        2.4590    2.4136  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR4708        2.2560    2.8830  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4712        2.4590    2.4740  270.0  A1   (T)  'R402H16', 'R402H16'
PR4802        2.4163    2.8669  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR4803        2.4960    2.7210   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4804        2.4040    2.7600   90.0  A1   (T)  'R603H22', 'R603H22'
PR4805        2.9100    2.9260   90.0  A1   (B)  'R1206H28_B', 'R1206H28_B'
PR4806        2.4120    2.8034  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR4808        1.7940    2.7440   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4809        1.8310    2.7030   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4810        2.4730    3.1630   90.0  A1   (T)  'R603H22', 'R603H22'
PR4811        2.4850    3.2350  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR4812        2.4850    3.2050  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR4813        2.5660    3.3220   90.0  A1   (T)  'R402H16', 'R402H16'
PR4814        2.9300    3.2900   90.0  A1   (B)  'R1206H28_B', 'R1206H28_B'
PR4815        1.7940    2.7740  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4816        1.8590    2.8650   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4817        2.4160    2.8356  270.0  A1   (T)  'R402H16', 'R402H16'
PR4818        2.4810    3.3130   90.0  A1   (T)  'R402H16', 'R402H16'
PR4821        1.8880    2.7360  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4822        1.8260    2.8340   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4823        1.9090    2.8180    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR4824        1.8880    2.7660   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5001        3.9640    3.9930  180.0  A1   (T)  'R603H24', 'R603H24'
PR5003        4.4356    4.0241    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5004        4.4661    4.0240    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5101        2.6700    0.4220  180.0  A1   (T)  'R402H16', 'R402H16'
PR5102        2.6600    0.2740  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5103        2.7690    0.3630  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5104        2.8690    0.3510  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5105        2.7680    0.3940  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5106        2.7680    0.4250  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5107        2.7370    0.4240    0.0  A1   (T)  'R402H16', 'R402H16'
PR5108        2.7620    0.2690  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5109        2.8690    0.3820  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5110        2.3810    0.3180  270.0  A1   (T)  'R1206H28', 'R1206H28'
PR5111        2.5410    0.5430    0.0  A1   (B)  '0R0805-PAD-U', '0R0805-PAD-U'
PR5201        6.5720    2.6730    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5202        6.5390    2.7470  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5203        6.4540    2.7670    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5204        6.5090    2.7470    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5206        6.3450    2.7400   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5207        6.3940    2.7670  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5208        6.3450    2.7700   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5401        4.2496    0.4746  180.0  A1   (T)  'R402H16', 'R402H16'
PR5402        4.1443    0.4573  180.0  A1   (T)  'R402H16', 'R402H16'
PR5403        3.8400    0.4880    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5404        3.8700    0.5210    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5406        4.2809    0.4736    0.0  A1   (T)  'R402H16', 'R402H16'
PR5408        4.1270    0.5070   90.0  A1   (T)  'R402H16', 'R402H16'
PR5409        3.3590    0.4811    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5410        3.3790    0.5320  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5417        3.4250    0.4200  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5419        2.9590    0.5050    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR5420        3.0300    0.5400    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8501        5.8880    4.0230   90.0  A1   (T)  'R805H24', 'R805H24'
PR8502        5.3980    3.7720  270.0  A1   (T)  'R603H22', 'R603H22'
PR8503        5.0820    3.9620    0.0  A1   (T)  'R402H16', 'R402H16'
PR8504        5.0460    3.8160   90.0  A1   (T)  'R402H16', 'R402H16'
PR8505        5.2570    3.6600  180.0  A1   (T)  'R402H16', 'R402H16'
PR8506        5.2920    3.9810  180.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
PR8507        5.1110    3.9600  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8508        5.4010    3.8630   90.0  A1   (T)  'R402H16', 'R402H16'
PR8509        5.2970    3.6740    0.0  A1   (T)  '0R0603-PAD', '0R0603-PAD'
PR8510        5.0460    3.8460  270.0  A1   (T)  'R402H16', 'R402H16'
PR8511        5.0540    3.9070  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8512        5.0240    3.7290  180.0  A1   (T)  'R402H16', 'R402H16'
PR8513        5.8890    3.6860   90.0  A1   (T)  'R805H24', 'R805H24'
PR8514        4.9900    3.6700    0.0  A1   (T)  'R402H16', 'R402H16'
PR8515        5.1410    4.0390   90.0  A1   (T)  'R402H16', 'R402H16'
PR8516        5.1460    4.0690   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR8517        5.1410    4.0090  270.0  A1   (T)  'R402H16', 'R402H16'
PR8518        5.1330    3.7050   90.0  A1   (B)  'R402H14_B', 'R402H14_B'
PR8519        5.1500    3.7620   90.0  A1   (B)  '0R0402-PAD_B', '0R0402-PAD_B'
PR8520        5.0710    3.7860  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
PR8521        5.1200    3.6600    0.0  A1   (T)  'R402H14', 'R402H14'
PR8522        5.2070    4.0390  270.0  A1   (T)  'R402H16', 'R402H16'
PR8523        5.2070    4.0090  270.0  A1   (T)  'R402H16', 'R402H16'
PR8525        5.2200    3.6900    0.0  A1   (T)  'R402H16', 'R402H16'
PR8526        5.2000    3.7810  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8527        5.2310    3.7810  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8561        5.0700    3.6650  270.0  A1   (T)  'R402H16', 'R402H16'
PR8576        5.1500    3.7920   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8577        5.1500    3.8220  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8613        6.3770    3.1490    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8620        6.3390    3.1980   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8623        6.2910    3.1520  180.0  A1   (B)  'R402H15_B', 'R402H15_B'
PR8625        6.2610    3.1520    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
PR8626        7.7020    2.1350  180.0  A1   (T)  'R402H16', 'R402H16'
PR8627        7.7320    2.1350    0.0  A1   (T)  'R402H16', 'R402H16'
PR8631        7.6100    2.1310    0.0  A1   (T)  'R402H15', 'R402H15'
PR8632        7.6720    2.1350    0.0  A1   (T)  'R402H15', 'R402H15'
PR8633        7.7360    1.8630  180.0  A1   (B)  'R603H24_B', 'R603H24_B'
PR8634        7.7920    2.1350  180.0  A1   (T)  'R402H15', 'R402H15'
PR8635        7.5570    2.1900   90.0  A1   (T)  'R402H15', 'R402H15'
PR8636        7.5750    2.1420  180.0  A1   (T)  'R402H16', 'R402H16'
R301          4.1144    3.4940   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R302          4.1494    3.4450  180.0  A1   (B)  'R402H16_B', 'R402H16_B'
R303          5.8930    1.7230   90.0  A1   (T)  'R402H16', 'R402H16'
